Bp_ConsBp_seq_M,Bp_ConsBp_seq_status,Bp_L0HadronDecision_TOS,Bp_L0HadronDecision_TIS,Bp_L0MuonDecision_TIS,Bp_L0ElectronDecision_TIS,Bp_L0PhotonDecision_TIS,Bp_Hlt1TrackMVADecision_TOS,Bp_Hlt1TwoTrackMVADecision_TOS,Bp_Hlt2Topo2BodyDecision_TOS,Bp_Hlt2Topo3BodyDecision_TOS,Bp_Hlt2Topo4BodyDecision_TOS,Bp_ConsBp_seq_decayLength,Bp_ConsBp_seq_tauminus_0_decayLength,Bp_ConsBp_seq_tauminus_decayLength,taup_DIRA_ORIVX,taum_DIRA_ORIVX,Bp_DIRA_OWNPV,taup_ENDVERTEX_X,taum_ENDVERTEX_X,taup_ENDVERTEX_Y,taum_ENDVERTEX_Y,taup_ENDVERTEX_Z,taum_ENDVERTEX_Z,Bp_ConsBp_seq_chi2
5171.6577,0.0,False,False,False,False,False,False,False,False,False,False,38.647503,6.4794693,0.44631538,0.9996345170700083,0.9999971207445584,0.9999936449047202,4.0715,4.5453,-0.3446,-0.2988,59.0593,65.0969,7.005314
4940.5225,0.0,False,False,False,False,False,False,False,False,False,False,51.45978,-0.9847343,7.200254,0.9999986010469837,-0.9992535015977926,0.9999938714663571,0.5815,0.6493,-2.976,-2.5429,45.5289,37.6934,12.834541
5861.2485,0.0,True,False,False,False,False,True,True,False,True,True,12.187992,0.80564505,0.8526657,0.9999921865288265,0.9999623852347193,0.9999806221859492,-1.4239,-1.419,0.2477,0.2378,39.4591,39.4118,5.247728
4777.6445,0.0,False,False,False,False,False,False,False,False,False,False,30.76569,5.7188063,-0.5502864,-0.9995783777761449,0.9999710693057214,0.9999615014654518,-4.3734,-5.5186,0.3668,0.5804,56.3809,62.5323,17.730288
70897.234,0.0,False,False,False,True,False,True,True,True,True,True,9.518859,0.3684662,0.2724252,0.9937925700543173,0.9993840921930162,0.9999730223827031,-0.0376,-0.0762,-0.8411,-0.8333,39.2066,39.2577,14.695731
364603.84,0.0,True,False,True,False,False,True,True,False,False,False,30.999516,0.1559052,0.7178584,0.9999870261125666,0.9996023262972826,0.9999948426525554,3.7022,3.6649,4.5013,4.4286,60.9137,60.2613,9.119347
4652.097,0.0,True,True,True,False,True,True,True,True,True,True,18.58193,2.4796908,1.9576105,0.9999470888227947,0.999980148631299,0.9999996271855669,-1.0915,-1.2092,-1.8579,-1.9161,49.8695,50.5261,1.9736503
5181.539,0.0,True,True,False,False,False,True,True,False,True,True,13.068702,0.27294803,6.1414385,0.9999985820121015,0.9986424436950198,0.9999978108225714,-0.9872,-0.4226,-1.6726,-1.1648,48.643,42.8426,11.331114
5634.934,0.0,True,True,False,True,False,True,True,True,True,True,39.652756,3.4952078,0.3800676,-0.9993382510668355,0.9994805578472561,0.9999656508616092,-3.0265,-3.3669,-3.7405,-4.0884,69.1791,72.2969,6.474386
5462.9663,0.0,True,True,False,True,True,True,True,True,True,True,16.547457,2.637933,5.5068398,0.9999942371651386,0.9998385866089025,0.9999682110879207,-1.3032,-0.9951,-2.0137,-1.7567,51.4719,48.6014,8.484338
5897.0596,0.0,True,True,False,False,False,True,True,True,True,True,14.363035,-0.9712102,1.4051449,0.9999742740097108,-0.999926164816546,0.9999881193604847,-0.6787,-0.4271,-1.439,-1.133,45.4298,42.8481,3.030298
5328.2964,0.0,False,True,False,False,True,True,True,False,True,True,30.886036,1.7553617,2.1625962,0.9999933455491933,0.9999135810344701,0.9999872955722702,-2.3111,-2.3533,-3.0773,-3.0089,62.3107,61.8181,5.585978
4886.7227,0.0,True,True,False,False,True,True,True,False,True,True,6.739401,3.5094955,2.8162906,0.9999703645911624,0.9998687159482879,0.9999985865078832,-0.0509,-0.1472,-0.7802,-0.8868,39.1173,39.7417,4.557861
5157.307,0.0,False,True,False,True,False,True,True,False,True,True,19.192339,0.46439797,1.7254972,0.9999994192945227,0.9999357756487511,0.9999710111107056,-1.1229,-1.0503,-1.8863,-1.7795,50.337,49.0669,7.028747
6116.815,0.0,False,False,False,True,False,False,True,False,True,True,6.425161,2.9204414,-0.15674755,-0.9999129491704629,0.9999726308574693,0.9998273983716262,0.3347,0.0753,0.0201,0.1333,19.6679,22.6866,2.3872077
47196756.0,0.0,False,True,True,False,False,False,True,False,False,False,6.977995,2.15939,-0.4281235,-0.9964462588142717,0.9995687199410264,0.9999959397186533,0.7692,0.7327,0.6532,0.746,120.7619,122.7755,3.3220966
4638.6826,0.0,True,False,True,False,False,True,True,True,True,True,42.1951,10.032575,-0.32162848,-0.9999711925280003,0.9999979625589552,0.9999937179181975,-2.1503,-2.873,0.8203,1.0482,116.0177,126.4716,7.119544
9550.319,0.0,True,True,False,False,False,True,True,False,True,True,22.354156,1.2976974,1.8942261,0.9999399658267665,0.9999821001198855,0.9999986288286766,-0.8376,-0.8634,0.5252,0.4787,98.4664,98.0289,18.430866
7153.917,0.0,False,False,False,False,False,False,False,False,False,False,21.406324,-0.52656597,0.08764088,0.9990961893765875,-0.9535582060389415,0.9999806711046587,-0.6196,-0.5559,1.0044,1.0093,5.6331,5.1451,1.6831099
5360.105,0.0,False,False,False,False,False,False,False,False,False,False,5.245295,1.7928548,6.996013,0.9999817820450388,0.9983911696771767,0.9999025751506857,-0.05,0.3901,0.4435,0.4643,-3.5444,-8.7971,15.15989
6732.4067,0.0,True,True,False,True,False,True,True,False,True,True,11.571863,-0.5391444,1.2603644,0.9999054310745228,-0.9997900220508186,0.9998404486991909,0.8394,0.8819,-2.1662,-1.8364,32.1228,30.3586,11.474503
5029.886,0.0,False,False,False,False,False,False,False,False,False,False,16.883812,3.309,0.07519318,0.9988920155095747,0.99999923302872,0.9999494722981241,2.266,2.4705,-1.1167,-1.3208,-17.6464,-14.377,3.1523867
5597.36,0.0,False,False,False,False,False,False,False,False,False,False,14.942453,0.0053523425,1.671148,0.9997036604830333,0.9990223342945339,0.9999497427046846,2.1597,2.105,-1.0496,-0.9796,-18.2642,-19.5406,8.55267
4977.8135,0.0,False,False,True,False,False,True,True,True,True,True,17.64047,0.4512844,3.48167,0.999977021625754,0.916628979134039,0.9999906027398733,2.1046,1.916,-0.3866,-0.2983,12.5527,9.3823,6.638933
-37699.184,1.0,False,False,False,False,False,False,False,False,False,False,9.642136,-0.85412824,1.7005653,0.9959938130159702,0.9996504828171003,0.9999390502130371,1.5312,1.5379,-0.533,-0.6022,59.5154,60.449,8.218427
6529.328,0.0,False,False,False,False,False,False,False,False,False,False,38.283676,-0.40802506,1.6783229,0.9997953161217142,-0.9872259859077984,0.999997193353965,2.6782,2.5777,1.7035,1.6916,-14.124,-16.0226,9.182551
5700.151,0.0,False,False,False,False,False,False,False,False,False,False,33.453156,3.216845,5.9019694,0.9999996038888743,0.9999034377167781,0.9999867355087706,2.6009,2.5703,1.75,1.67,-14.758,-17.4542,5.2123995
4148.628,0.0,False,False,False,False,False,False,False,False,False,False,21.691683,1.1679592,1.3303865,0.9999939365926346,0.9999955311241898,0.9999245063897615,2.114,2.1513,-1.3945,-1.4257,-13.4839,-13.6151,4.4021497
4757.033,0.0,False,False,False,False,False,False,False,False,False,False,21.89838,1.5965896,-0.33872542,-0.861522189384728,0.999996020233745,0.9999688929723788,2.0428,2.1858,-1.3065,-1.4219,-14.8996,-12.9492,5.2223883
5224.185,0.0,True,False,False,False,False,True,True,False,True,False,13.638921,8.284325,19.492844,0.9999997332271876,0.9999991721417324,0.999945856524284,3.7867,2.406,0.234,0.2776,82.5993,71.4381,5.756987
5318.3447,0.0,True,False,False,True,False,True,True,True,True,True,14.9135475,1.0408986,13.753718,0.9999932260936732,0.9996721701902053,0.999993278753099,3.3038,2.0625,0.3881,0.233,78.1921,65.333,9.5338545
4896.4824,0.0,False,False,False,True,False,True,True,True,True,True,19.653393,7.2844143,1.6913078,0.9998024761029598,0.9999969522097308,0.9999892831792808,2.513,2.9757,0.2671,0.161,70.6906,76.4423,6.2514777
4986.425,0.0,True,False,False,False,False,True,True,True,True,True,11.982477,3.1372433,5.4267483,0.9999957493899053,0.999975346596974,0.9999835494314677,2.1689,2.0496,0.1612,0.2264,66.9624,64.6785,2.9906747
4955.9585,0.0,False,False,False,False,False,False,False,False,False,False,10.598471,1.4112428,6.6594105,0.9999651411217203,0.999681034449794,0.9999977524310275,-0.1914,0.0683,0.4345,0.4187,-11.5296,-16.6783,2.9592133
4113.7295,0.0,False,False,False,False,False,False,False,False,False,False,38.55802,2.146343,2.0190964,0.9999547957529457,0.9999800935538277,0.9999101140224451,-0.3366,-0.3221,3.1222,3.0867,35.4747,35.3949,3.7839425
4545.9907,0.0,False,False,False,False,False,False,False,False,False,False,41.11206,10.65694,20.295965,0.9999984151711864,0.9999881179006541,0.9999972279294623,2.0968,1.6903,-2.5077,-1.9301,40.571,30.8705,3.7948656
14946038.0,0.0,False,False,False,False,False,False,False,False,False,False,17.270775,-0.24897967,3.287039,0.9999288660034362,0.999739789159269,0.9999621644821777,0.3431,0.4166,-0.9525,-0.8103,-2.5896,-5.7361,7.2645607
5192.9595,0.0,False,False,False,False,False,False,False,False,False,False,28.006426,1.7693174,3.350368,0.9999227974539762,0.9999928330941042,0.9999289172100608,0.076,-0.0686,-1.7041,-1.5697,8.5534,7.3146,12.274101
615995.6,0.0,False,False,False,False,False,False,False,False,False,False,8.972468,-0.27606198,0.37008557,0.9993086309787383,-0.9988020168254024,0.9999507599188855,1.1929,1.1908,-1.3179,-1.2458,-53.7897,-54.2399,7.914726
4977.0254,0.0,False,False,False,False,False,False,False,False,False,False,8.477335,1.648657,3.3157005,0.9999300173418757,0.9997161184026486,0.9999658461240025,1.25,1.1273,-1.7242,-1.3853,-51.149,-52.7749,5.113351
4910.3916,0.0,True,True,False,False,False,True,True,False,False,False,14.1210575,3.4845545,8.429639,0.999993568528079,0.9999761260732388,0.9999933937588653,-3.3239,-2.5973,-0.3856,-0.2149,35.9176,31.0257,9.557333
4801.5796,0.0,True,True,False,False,False,True,True,False,False,False,9.341979,-0.021798145,11.200301,0.9999825554471719,-0.9957471189070893,0.9999204206945297,-3.1357,-0.9587,-0.292,-0.058,33.9141,22.9774,10.303658
5430.8105,0.0,True,False,False,True,False,True,True,True,True,True,60.510906,-0.55277956,5.610648,0.9999983074664817,-0.9999692557853517,0.999978422334783,-2.6029,-2.308,1.5937,1.409,56.8015,50.7505,5.7106133
